/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency; */
/*              +Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means */
/*  that there is always a 2-cycle difference between that instruction have */
/*  only xmmister operands and that instruction having a memory operand. */
/*  Any instruction that has a memory operand as its second operand is a */
/*  LOAD. Instructions with an * in front of them means that the operands */
/*  must be inspected before you can tell which        */
/*  execution it will use and, therefore, its latency. */

//*SHR     mem,1/CL/imm    SHIFT   single  ALU        4    0    1/1   ALU-4 
*SUB     reg,reg/imm     ADD     single  ALU        1    3    1/1   ALU-1 
//*SUB     mem,reg/imm     ADD     single  ALU        4    0    1/1   STORE-4
*TEST    reg,reg/imm     AND     single  ALU        1    0    1/1   ALU-1 
//*TEST    mem,reg/imm     AND     single  ALU        4    0    1/1   ALU-4 
*XOR     reg,reg/imm     XOR     single  ALU        1    3    1/1   ALU-1 
//*XOR     mem,reg/imm     XOR     single  ALU        4    0    1/1   STORE-4

CBW      reg,reg         CNVT    single  ALU       1    0    1/1   ALU-1
CWDE     reg,reg         CNVT    single  ALU       1    0    1/1   ALU-1
CDQE     reg,reg         CNVT    single  ALU       1    0    1/1   ALU-1
CWD      reg,reg         CNVT    single  ALU       1    0    1/1   ALU-1
CDQ      reg,reg         CNVT    single  ALU       1    0    1/1   ALU-1
CQO      reg,reg         CNVT    single  ALU       1    0    1/1   ALU-1
CLC      reg,reg         CLRF    single  ALU       1    0    1/1   ALU-1
CLD      reg,reg         CLRF    single  ALU       1    0    1/1   ALU-1
CMC      reg,reg         CLRF    single  ALU       1    0    1/1   ALU-1
/*  The cc in CMOVcc is a condition code.  These are in the instruction manual,*/
/*  24594.pdf, page 91. */
CMOVCC   reg,reg         CMOV    single  ALU       1    3    1/1   ALU-1
/*  The cc in J cc is a condition code.  These are in the instruction manual,  */
/*  24594.pdf, page 130. */
JCC      disp8/16/32/64/128 COND single  ALU       1    0    1/1   ALU-1

*JMP     disp/reg        JMP     single  ALU       1    0    1/1   ALU-1
//*JMP   mem             JMP     single  ALU       4    0    1/1   ALU-4 

*MOV     reg,reg         MOV     single  ALU       1    0    1/1   ALU-1
/* JEC: I modified the latency of the MOV below from 3 to 1, since 3 implies cache */
//*MOV     reg,mem32/64    LOAD    single  ALU       3    0    1/1   LOAD-3
//*MOV     reg,mem8/16     LOAD    single  ALU       4    0    1/1   LOAD-4
//*MOV     mem,reg/imm     MOV     single  ALU       3    0    1/1   STORE-3
//*MOV     mem16,FS        MOV     double  ALU       4    0    1/1   STORE-4
//*MOV     mem32,SS/DS     MOV     double  ALU       4    0    1/1   STORE-4
//*MOV     reg32/64,FS     MOV     single  ALU       3    0    1/1   ALU-3
//*MOV     reg32,SS/DS     MOV     single  ALU       4    0    1/1   ALU-4
//*MOV     DS,reg32        MOV     vector  ALU       8    0    1/1   ALU-8
//*MOV     FS,reg32/64     MOV     vector  ALU       8    0    1/1   ALU-8
//*MOV     SS,reg32        MOV     vector  ALU      10    0    1/1   ALU-10
//*MOV     DS,mem32        MOV     vector  ALU      10    0    1/1   LOAD-10
//*MOV     FS,mem16        MOV     vector  ALU      10    0    1/1   LOAD-10
//*MOV     SS,mem32        MOV     vector  ALU      26    0    1/1   LOAD-26

MOVSX    reg,reg         MOV     single  ALU       1    3    1/1   ALU-1
MOVSXD   reg,reg         MOV     single  ALU       1    3    1/1   ALU-1
MOVZX    reg,reg         MOV     single  ALU       1    3    1/1   ALU-1
SAHF     none            FLAGS   single  ALU       1    0    1/1   ALU-1
/* The cc in SET is a condition code.  These are in the */
/* instruction manual, 24594.pdf page 225. */
SETCC    reg             SETF    single  ALU       1    2    1/1   ALU-1
STC      none            SETF    single  ALU       1    0    1/1   ALU-1

LZCNT    reg,reg         CNT     single  ALU2      2    3    1/1   ALU-2 
POPCNT   reg,reg         POP     single  ALU2      2    3    1/1   ALU-2 
*XADD    reg,reg         ADD     vectir  ALU       2    0    1/1   ALU-2 
//*XADD    mem,reg         ADD     vector  ALU       5    0    1/1   STORE-5

JCXZ     disp            COND    double  ALU       2    0    1/1   ALU-2
JECXZ    disp            COND    double  ALU       2    0    1/1   ALU-2
JRCXZ    disp            COND    double  ALU       2    0    1/1   ALU-2
STD      none            SETF    double  ALU       2    0    1/1   ALU-2
*XCHG    reg8,reg8       XCHG    vector  ALU       2    0    1/1   ALU-2
*XCHG    reg32/64,mem32/64 XCHG  double  ALU       15   0    1/1   LOAD-15
*XCHG    reg8,mem8       XCHG    vector  ALU       16   0    1/1   LOAD-16
*XCHG    reg16,mem16     XCHG    double  ALU       16   0    1/1   LOAD-16
*XCHG    mem32/64,reg32/64 XCHG  double  ALU       15   0    1/1   STORE-15
*XCHG    mem8,reg8       XCHG    vector  ALU       16   0    1/1   STORE-16
*XCHG    mem16,reg16     XCHG    double  ALU       16   0    1/1   STORE-16

/*  According to the docs on p. 225 of the 40546.pdf manual, multiplication */
/*  uses only the ALU0 execution unit.  Division doesn't need to use ALU0.  */
*IMUL    reg8            MUL     single  ALU0       3    0    1/1   ALU-3 
*IMUL    reg16           MUL     vector  ALU0       4    0    1/1   ALU-4 
*IMUL    reg16,reg16     MUL     single  ALU0       3    0    1/1   ALU-3 
*IMUL    reg16,imm16     MUL     vector  ALU0       4    2    1/1   ALU-4 
*IMUL    reg16,reg16,imm MUL     vector  ALU0       4    0    1/1   ALU-4 
//*IMUL    reg16,mem16,imm MUL     vector  ALU0       7    0    1/1   ALU-7 
*IMUL    reg32           MUL     double  ALU0       3    0    1/1   ALU-3 
*IMUL    reg32,reg32     MUL     single  ALU0       3    0    1/1   ALU-3 
*IMUL    reg32,imm32     MUL     single  ALU0       3    3    1/1   ALU-3 
*IMUL    reg32,reg32,imm MUL     single  ALU0       3    0    1/1   ALU-3 
*IMUL    reg64           MUL     double  ALU0       5    0    1/1   ALU-5 
*IMUL    reg64,reg64     MUL     single  ALU0       4    0    1/1   ALU-4 
*IMUL    reg64,imm64     MUL     single  ALU0       4    3    1/1   ALU-4 
*IMUL    reg64,reg64,imm MUL     single  ALU0       4    0    1/1   ALU-4 
//*IMUL    mem8            MUL     single  ALU0       6    0    1/1   ALU-6 
//*IMUL    mem32           MUL     double  ALU0       6    0    1/1   ALU-6 
//*IMUL    reg32,mem32,imm MUL     vector  ALU0       7    0    1/1   ALU-7 
//*IMUL    mem16           MUL     vector  ALU0       7    0    1/1   ALU-7 
//*IMUL    reg64,mem64,imm MUL     vector  ALU0       8    0    1/1   ALU-8 
//*IMUL    mem64           MUL     double  ALU0       8    0    1/1   ALU-8 
*MUL     reg8            MUL     single  ALU0       3    0    1/1   ALU-3 
*MUL     reg16           MUL     vector  ALU0       4    0    1/1   ALU-4 
*MUL     reg32           MUL     double  ALU0       3    0    1/1   ALU-3 
*MUL     reg64           MUL     double  ALU0       5    0    1/1   ALU-5 
//*MUL     mem8            MUL     single  ALU0       6    0    1/1   ALU-6 
//*MUL     mem16           MUL     vector  ALU0       7    0    1/1   ALU-7 
//*MUL     mem32           MUL     double  ALU0       6    0    1/1   ALU-6 
//*MUL     mem64           MUL     double  ALU0       8    0    1/1   ALU-8 

*CMPXCHG reg,reg         CMP     vector  ALU        3    0    1/1   ALU-3 
*CMPXCHG mem16/32/64,reg16/32/64 CMP vector ALU     5    0    1/1   ALU-5 
*CMPXCHG mem8,reg8       CMP     vector  ALU        6    0    1/1   ALU-6 

*PUSH    mem             STACK   double  ALU        3    0    1/1   ALU-3 
*PUSH    reg/imm         STACK   single  ALU        3    0    1/1   ALU-3
*PUSH    CS/DS/ES/FS/GS/SS STACK double  ALU        3    0    1/1   ALU-3
*POP     mem             STACK   vector  ALU        3    0    1/1   ALU-3 
*POP     reg32/64        STACK   single  ALU        3    0    1/1   ALU-3
*POP     SS              STACK   vector  ALU        26   0    1/1   ALU-26
*POP     reg16           STACK   double  ALU        4    0    1/1   ALU-4
*POP     DS/ES/FS/GS     STACK   vector  ALU        10   0    1/1   ALU-10

*CALL    disp/reg        STACK   double  ALU        3    0    1/1   ALU-3
//*CALL    mem             STACK   vector  ALU        4    0    1/1   ALU-4 
LAHF     none            LDF     vector  ALU        3    0    1/1   ALU-3

BSF      reg,reg         SCAN    vector  ALU        4    3    1/1   ALU-4 
BSR      reg,reg         SCAN    vector  ALU        4    3    1/1   ALU-4 
*SHLD    reg,reg,CL/imm  SHIFT   vector  ALU        4    0    1/1   ALU-4 
//*SHLD    mem,reg,CL/imm  SHIFT   vector  ALU        6    0    1/1   ALU-6 
*SHRD    reg,reg,CL/imm  SHIFT   vector  ALU        4    0    1/1   ALU-4 
//*SHRD    mem,reg,CL/imm  SHIFT   vector  ALU        6    0    1/1   ALU-6 

*RET     none            STACK   single  ALU       4    0    1/1   ALU-4
*RET     imm16           STACK   double  ALU       4    0    1/1   ALU-4

SCAS     reg8/16/32/64   CMP     vector  ALU       4    0    1/1   ALU-4
SCASB    reg8            CMP     vector  ALU       4    0    1/1   ALU-4
SCASW    reg16           CMP     vector  ALU       4    0    1/1   ALU-4
SCASD    reg32           CMP     vector  ALU       4    0    1/1   ALU-4
SCASQ    reg64           CMP     vector  ALU       4    0    1/1   ALU-4

XLAT     none            CPY     vector  ALU       5    0    1/1   ALU-5
XLATB    none            CPY     vector  ALU       5    0    1/1   ALU-5

BOUND    reg,mem         ADD     vector  ALU       6    0    1/1   ALU-6 
CMPS     reg8/16/32/64   CMP     vector  ALU       6    0    1/1   ALU-6 
CMPSB    reg8            CMP     vector  ALU       6    0    1/1   ALU-6 
CMPSW    reg16           CMP     vector  ALU       6    0    1/1   ALU-6 
CMPSD    reg32           CMP     vector  ALU       6    0    1/1   ALU-6 
CMPSQ    reg64           CMP     vector  ALU       6    0    1/1   ALU-6 

POPA     reg16,mem16     STACK   vector  ALU       6    0    1/1   ALU-6
POPAD    reg32,mem32     STACK   vector  ALU       6    0    1/1   ALU-6
PUSHA    mem16,reg16     STACK   vector  ALU       6    0    1/1   ALU-6
PUSHAD   mem32,reg32     STACK   vector  ALU       6    0    1/1   ALU-6

*LOOPCC  pm64            COND    vector  ALU       7    0    1/1   ALU-7 
*LOOPCC  pm32            COND    vector  ALU       8    0    1/1   ALU-8 

CMPXCHG8B mem64          CMP     vector  ALU       10   0    1/1   ALU-10
CMPXCHG16B mem128        CMP     vector  ALU       11   0    1/1   ALU-11

POPF     reg16,mem       STACK   vector  ALU       15   0    1/1   ALU-15
POPFD    reg32,mem       STACK   vector  ALU       15   0    1/1   ALU-15
POPFQ    reg64,mem       STACK   vector  ALU       15   0    1/1   ALU-15

/* For division, we have a problem.  The latency is dependent on the size  */
/* of the operand. We probably need to collect stats on this from the      */
/* application.  With any luck, these don't occur very often.  The latency */
/* ranges between 17 and 72 cycles.  See page 142 of the Software          */
/* Optimization Manual (40546.pdf) for the details. */  
/* JEC: This still needs some work but we are guessing for now */
DIV      reg16,mem16      DIV     vector  ALU      24  0    1/21  ALU   
DIV      reg32,mem32      DIV     vector  ALU      40  0    1/37  ALU   
DIV      reg64,mem64      DIV     vector  ALU      72  0    1/69  ALU   
IDIV     reg16,mem16      DIV     vector  ALU      31  0    1/28  ALU   
IDIV     reg32,mem32      DIV     vector  ALU      47  0    1/44  ALU   
IDIV     reg64,mem64      DIV     vector  ALU      79  0    1/76  ALU   

/*  For the PUSHF, PUSHFD, and PUSHFQ instructions, there is no latency */
/*  listed (guess: same as regular) */
PUSHF    mem16,reg       STACK   vector  ALU       3   0    1/1  ALU  
PUSHFD   mem32,reg       STACK   vector  ALU       3   0    1/1  ALU  
PUSHFQ   mem64,reg       STACK   vector  ALU       3   0    1/1  ALU  

/*  Mem addresses with a base and an index only have latency 1; mem   */
/*  addresses that have a base, index, and scale have a latency of 2. */
LEA      reg32/64,mem    LOAD    single  AGU       1    0    1/1   LOAD-1
LEA      reg16,mem       LOAD    vector  AGU       3    0    1/1   LOAD-3

LODS     reg,mem8/16/32/64 LOADS vector  ALU       5    0    1/1   LOAD-5
LODSB    reg,mem8        LOADS   vector  ALU       5    0    1/1   LOAD-5
LODSW    reg,mem16       LOADS   vector  ALU       5    0    1/1   LOAD-5
LODSD    reg,mem32       LOADS   vector  ALU       4    0    1/1   LOAD-4
/*  I'm not sure about the latency on the LOADSQ instruction.  This is */
/*  in the instruction description (24594.pdf,pg 149), but is not in */
/*  40546.pdf (page 244).  I'm guessing a latency of 5, */
/*  but I think this will need to be micro-benchmarked. */
LODSQ    reg,mem64       LOADS   vector  ALU       5    0    1/1   LOAD-5

STOS     mem8/16/32/64,reg STS   vector  ALU       4    0    1/1   STORE-4
STOSB    mem8,reg        STS     vector  ALU       4    0    1/1   STORE-4
STOSW    mem16,reg       STS     vector  ALU       4    0    1/1   STORE-4
STOSD    mem32,reg       STS     vector  ALU       4    0    1/1   STORE-4
STOSQ    mem64,reg       STS     vector  ALU       4    0    1/1   STORE-4

MOVS     mem8/16/32/64   MOV     vector  ALU       5    0    1/1   STORE-5
MOVSB    mem8            MOV     vector  ALU       5    0    1/1   STORE-5
MOVSW    mem16           MOV     vector  ALU       5    0    1/1   STORE-5
MOVSD    mem32           MOV     vector  ALU       5    0    1/1   STORE-5
MOVSQ    mem64           MOV     vector  ALU       5    0    1/1   STORE-5

/* The MOVNTI instruction's latency is variable. It uses the processor's */
/* write-combining resources. Should microbenchmark to determine latency.*/
MOVNTI   mem,reg         MOV     single  ALU        99   0    1/1   STORE-X
	
*CPUID   fn0x0           SPEC    vector  ALU        41   0    1/1   SPECIAL
*CPUID   fn0x1           SPEC    vector  ALU        127  0    1/1   SPECIAL
*CPUID   fn0x2           SPEC    vector  ALU        37   0    1/1   SPECIAL
DAA      reg,reg         SPEC    vector  ALU        7    0    1/1   SPECIAL
DAS      reg,reg         SPEC    vector  ALU        7    0    1/1   SPECIAL
*ENTER   imm32,0         STACK   vector  ALU        14   0    1/1   SPECIAL
*ENTER   imm32,1         STACK   vector  ALU        17   0    1/1   SPECIAL
*ENTER   imm32,2         STACK   vector  ALU        19   0    1/1   SPECIAL
LEAVE    reg,mem         STACK   double  ALU        3    0    1/1   SPECIAL
NOP      none            SPEC    none    none       1    0    1/1   SPECIAL
RDTSC    none            SPEC    none    none       1    0    1/1   SPECIAL
SYSCALL  none            SPEC    none    none       1    0    1/1   SPECIAL
